mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_criterion,param_max_depth,param_max_features,param_max_leaf_nodes,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.03723470369974772,0.001243391046053384,0.006316343943277995,0.0004700779410840571,bootstrap,gini,5,sqrt,5,1,11,30,"{'bootstrap': 'bootstrap', 'criterion': 'gini', 'max_depth': 5, 'max_features': 'sqrt', 'max_leaf_nodes': 5, 'min_samples_leaf': 1, 'min_samples_split': 11, 'n_estimators': 30}",0.8026905829596412,0.8295964125560538,0.8018018018018018,0.8113629324391655,0.01289812210792329,907
0.06195394198099772,0.0009632471429824723,0.009639898935953775,0.00046996595268391096,bootstrap,gini,5,sqrt,5,1,11,50,"{'bootstrap': 'bootstrap', 'criterion': 'gini', 'max_depth': 5, 'max_features': 'sqrt', 'max_leaf_nodes': 5, 'min_samples_leaf': 1, 'min_samples_split': 11, 'n_estimators': 50}",0.7892376681614349,0.8430493273542601,0.8063063063063063,0.8128644339406671,0.02245262337786858,859
0.09241803487141927,0.002348366205246127,0.02493453025817871,0.016925500030310594,bootstrap,gini,5,sqrt,5,1,11,70,"{'bootstrap': 'bootstrap', 'criterion': 'gini', 'max_depth': 5, 'max_features': 'sqrt', 'max_leaf_nodes': 5, 'min_samples_leaf': 1, 'min_samples_split': 11, 'n_estimators': 70}",0.7982062780269058,0.8430493273542601,0.7927927927927928,0.8113494660579862,0.022523874152363173,913
0.10941282908121745,0.0019909905371388163,0.015219291051228842,0.0011304349410445219,bootstrap,gini,5,sqrt,5,1,11,90,"{'bootstrap': 'bootstrap', 'criterion': 'gini', 'max_depth': 5, 'max_features': 'sqrt', 'max_leaf_nodes': 5, 'min_samples_leaf': 1, 'min_samples_split': 11, 'n_estimators': 90}",0.7892376681614349,0.8565022421524664,0.8018018018018018,0.8158472373719011,0.029201443158562025,790
0.013640085856119791,0.000477040260823529,0.0033239523569742837,0.00046990942428649745,bootstrap,gini,5,sqrt,5,5,2,10,"{'bootstrap': 'bootstrap', 'criterion': 'gini', 'max_depth': 5, 'max_features': 'sqrt', 'max_leaf_nodes': 5, 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 10}",0.7757847533632287,0.8295964125560538,0.8018018018018018,0.8023943225736948,0.021972512781807358,1033
0.041368325551350914,0.0045257793253366254,0.006648858388264974,0.00047024643778554833,bootstrap,gini,5,sqrt,5,5,2,30,"{'bootstrap': 'bootstrap', 'criterion': 'gini', 'max_depth': 5, 'max_features': 'sqrt', 'max_leaf_nodes': 5, 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 30}",0.7937219730941704,0.8251121076233184,0.7927927927927928,0.8038756245034272,0.01502125173399754,1020
0.06504209836324056,0.00374283242527337,0.009975512822469076,0.0008143021352952108,bootstrap,gini,5,sqrt,5,5,2,50,"{'bootstrap': 'bootstrap', 'criterion': 'gini', 'max_depth': 5, 'max_features': 'sqrt', 'max_leaf_nodes': 5, 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 50}",0.7892376681614349,0.8161434977578476,0.8018018018018018,0.8023943225736948,0.010992246577069431,1033
0.08562326431274414,0.0026109131910818646,0.012253046035766602,0.0005319828934690746,bootstrap,gini,5,sqrt,5,5,2,70,"{'bootstrap': 'bootstrap', 'criterion': 'gini', 'max_depth': 5, 'max_features': 'sqrt', 'max_leaf_nodes': 5, 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 70}",0.8295964125560538,0.8295964125560538,0.7837837837837838,0.8143255362986305,0.021596280312569365,850
0.11784680684407552,0.0028365122004839097,0.015299240748087565,0.0012533353857884278,bootstrap,gini,5,sqrt,5,5,2,90,"{'bootstrap': 'bootstrap', 'criterion': 'gini', 'max_depth': 5, 'max_features': 'sqrt', 'max_leaf_nodes': 5, 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 90}",0.8116591928251121,0.8385650224215246,0.7972972972972973,0.8158405041813114,0.01710494680348948,801
0.014473279317220053,0.00040741851245294314,0.0031815369923909507,0.0002678292440830826,bootstrap,gini,5,sqrt,5,5,5,10,"{'bootstrap': 'bootstrap', 'criterion': 'gini', 'max_depth': 5, 'max_features': 'sqrt', 'max_leaf_nodes': 5, 'min_samples_leaf': 5, 'min_samples_split': 5, 'n_estimators': 10}",0.7982062780269058,0.8295964125560538,0.7612612612612613,0.7963546506147403,0.02792841586002397,1073
0.037079175313313804,0.0010398670597954718,0.006069580713907878,0.0007127183127876624,bootstrap,gini,5,sqrt,5,5,5,30,"{'bootstrap': 'bootstrap', 'criterion': 'gini', 'max_depth': 5, 'max_features': 'sqrt', 'max_leaf_nodes': 5, 'min_samples_leaf': 5, 'min_samples_split': 5, 'n_estimators': 30}",0.7892376681614349,0.8340807174887892,0.8153153153153153,0.8128779003218464,0.018388048874775017,855
